Year,Order,Player,Nationality,Club,Points
1956,1,Stanley Matthews,Blackpool,England,47
1956,2,Alfredo Di Stéfano,Real Madrid,Spain,44
1956,3,Raymond Kopa,Reims /  Real Madrid,France,33
1956,4,Ferenc Puskás,Budapest Honvéd,Hungary,32
1956,5,Lev Yashin,Dynamo Moscow,Soviet Union,19
1956,6,József Bozsik,Budapest Honvéd,Hungary,15
1956,7,Ernst Ocwirk,Austria Wien / Sampdoria,Austria,9
1956,8,Sándor Kocsis,Budapest Honvéd,Hungary,6
1956,9,Thadée Cisowski,RC Paris,France,4
1956,9,Ivan Kolev,CDNA Sofia,Bulgaria,4
1956,9,Billy Wright,Wolverhampton Wanderers,England,4
1956,12,Júlio Botelho,Fiorentina,Italy,3
1956,13,Stefan Bozhkov,CDNA Sofia,Bulgaria,2
1956,13,Duncan Edwards,Manchester United,England,2
1956,13,Gerhard Hanappi,Rapid Wien,Austria,2
1956,13,Robert Jonquet,Reims,France,2
1956,13,Miguel Montuori,Fiorentina,Italy,2
1956,13,Pepillo,Sevilla,Spain,2
1956,13,Juan Alberto Schiaffino,Milan,Italy,2
1956,13,Eduard Streltsov,Torpedo Moscow,Soviet Union,2
1956,21,Marcelino Campanal,Sevilla,Spain,1
1956,21,Břetislav Dolejší,Dukla Prague,Czechoslovakia,1
1956,21,Roger Piantoni,FC Nancy,France,1
1956,21,Kees Rijvers,Saint-Étienne,Netherlands,1
1957,1,Alfredo Di Stéfano,Real Madrid,Spain,72
1957,2,Billy Wright,Wolverhampton Wanderers,England,19
1957,3,Duncan Edwards,Manchester United,England,16
1957,3,Raymond Kopa,Real Madrid,France,16
1957,5,László Kubala,Barcelona,Hungary,15
1957,6,John Charles,Leeds United / Juventus,Wales,14
1957,7,Eduard Streltsov,Torpedo Moscow,Soviet Union,12
1957,8,Tommy Taylor,Manchester United,England,10
1957,9,József Bozsik,Budapest Honvéd,Hungary,9
1957,9,Igor Netto,Spartak Moscow,Soviet Union,9
1957,11,Lev Yashin,Dynamo Moscow,Soviet Union,8
1957,12,Francisco Gento,Real Madrid,Spain,7
1957,12,Gyula Grosics,Budapest Honvéd / Tatabánya,Hungary,7
1957,14,Danny Blanchflower,Tottenham Hotspur,Northern Ireland,4
1957,14,Miloš Milutinović,Partizan,Yugoslavia,4
1957,14,Juan Alberto Schiaffino,Milan,Italy,4
1957,17,Gerhard Hanappi,Rapid Wien,Austria,3
1957,17,Johnny Haynes,Fulham,England,3
1957,17,Stanley Matthews,Blackpool,England,3
1957,20,Sándor Kocsis,Young Fellows Zürich,Hungary,2
1957,20,Horst Szymaniak,Wuppertaler SV,West Germany,2
1957,22,Kurt Hamrin,Padova,Sweden,1
1957,22,Ladislav Novák,Dukla Prague,Czechoslovakia,1
1958,1,Raymond Kopa,Real Madrid,France,71
1958,2,Helmut Rahn,Rot-Weiss Essen,West Germany,40
1958,3,Just Fontaine,Reims,France,23
1958,4,John Charles,Juventus,Wales,15
1958,4,Kurt Hamrin,Padova / Fiorentina,Sweden,15
1958,6,Billy Wright,Wolverhampton Wanderers,England,9
1958,7,Johnny Haynes,Fulham,England,7
1958,8,Harry Gregg,Manchester United,Northern Ireland,6
1958,8,Nils Liedholm,Milan,Sweden,6
1958,8,Horst Szymaniak,Wuppertaler SV,West Germany,6
1958,11,Colin McDonald,Burnley,England,5
1958,12,Francisco Gento,Real Madrid,Spain,4
1958,12,Gunnar Gren,Örgryte IS,Sweden,4
1958,14,Vujadin Boškov,Vojvodina,Yugoslavia,3
1958,14,Bengt Gustavsson,Atalanta,Sweden,3
1958,14,Valentin Ivanov,Torpedo Moskva,Soviet Union,3
1958,14,Luis Suárez,Barcelona,Spain,3
1958,14,Lev Yashin,Dynamo Moscow,Soviet Union,3
1958,19,Orvar Bergmark,Örebro SK,Sweden,2
1958,19,Danny Blanchflower,Tottenham Hotspur,Northern Ireland,2
1958,19,Ivan Kolev,CDNA Sofia,Bulgaria,2
1958,19,Bruno Nicolè,Juventus,Italy,2
1958,19,Ladislav Novák,Dukla Prague,Czechoslovakia,2
1958,19,Lennart Skoglund,Internazionale,Sweden,2
1958,25,Giampiero Boniperti,Juventus,Italy,1
1958,25,Gerhard Hanappi,Rapid Wien,Austria,1
1959,1,Alfredo Di Stéfano,Real Madrid,Spain,80
1959,2,Raymond Kopa,Real Madrid / Reims,France,42
1959,3,John Charles,Juventus,Wales,24
1959,4,Luis Suárez,Barcelona,Spain,22
1959,5,Agne Simonsson,Örgryte IS,Sweden,20
1959,6,Lajos Tichy,Budapest Honvéd,Hungary,18
1959,7,Ferenc Puskás,Real Madrid,Hungary,16
1959,8,Francisco Gento,Real Madrid,Spain,12
1959,9,Helmut Rahn,Rot-Weiss Essen /  1. FC Köln,West Germany,11
1959,10,Horst Szymaniak,Wuppertaler SV / Karlsruher SC,West Germany,8
1959,11,Lev Yashin,Dynamo Moscow,Soviet Union,7
1959,12,Yuriy Voynov,Dynamo Kyiv,Soviet Union,5
1959,13,Dezső Bundzsák,Vasas,Hungary,4
1959,13,Gyula Grosics,Tatabánya,Hungary,4
1959,13,Ivan Kolev,CDNA Sofia,Bulgaria,4
1959,13,Nils Liedholm,Milan,Sweden,4
1959,17,Titus Buberník,ČH Bratislava,Czechoslovakia,3
1959,17,Just Fontaine,Reims,France,3
1959,17,Georgi Naydenov,CDNA Sofia,Bulgaria,3
1959,20,Flórián Albert,Ferencváros,Hungary,2
1959,20,Uwe Seeler,Hamburger SV,West Germany,2
1959,20,Joan Segarra,Barcelona,Spain,2
1959,23,János Göröcs,Újpest,Hungary,1
1959,23,Ken Jones,Scunthorpe United,Wales,1
1959,23,Roger Marche,RC Paris,France,1
1959,23,Antoni Ramallets,Barcelona,Spain,1
1960,1,Luis Suárez,FC Barcelona,Spain,54
1960,2,Ferenc Puskás,Real Madrid,Hungary,37
1960,3,Uwe Seeler,Hamburger SV,West Germany,33
1960,4,Alfredo Di Stéfano,Real Madrid,Spain,32
1960,5,Lev Yashin,Dynamo Moscow,Soviet Union,28
1960,6,Raymond Kopa,Reims,France,14
1960,7,John Charles,Juventus,Wales,11
1960,7,Bobby Charlton,Manchester United,England,11
1960,9,Omar Sívori,Juventus,Italy,9
1960,9,Horst Szymaniak,Karlsruher SC,West Germany,9
1960,11,Francisco Gento,Real Madrid,Spain,8
1960,12,Borivoje Kostić,Red Star Belgrade,Yugoslavia,7
1960,13,Joseph Ujlaki,RC Paris,France,5
1960,14,Kurt Hamrin,Fiorentina,Sweden,4
1960,14,Bobby Smith,Tottenham Hotspur,England,4
1960,16,Luis del Sol,Real Betis /  Real Madrid,Spain,3
1960,16,Jimmy Greaves,Chelsea,England,3
1960,16,Ivan Kolev,CDNA Sofia,Bulgaria,3
1960,19,János Göröcs,Újpest,Hungary,2
1960,19,Károly Sándor,MTK Budapest,Hungary,2
1960,19,Dragoslav Šekularac,Red Star Belgrade,Yugoslavia,2
1960,19,Agne Simonsson,Örgryte IS /  Real Madrid,Sweden,2
1960,23,Antonio Angelillo,Internazionale,Italy,1
1960,23,Gerhard Hanappi,Rapid Wien,Austria,1
1960,23,Erich Hof,Wiener SC,Austria,1
1960,23,Blagoje Vidinić,Radnički Belgrade,Yugoslavia,1
1961,1,Omar Sívori,Juventus,Italy,46
1961,2,Luis Suárez,Barcelona / Internazionale,Spain,40
1961,3,Johnny Haynes,Fulham,England,22
1961,4,Lev Yashin,Dynamo Moscow,Soviet Union,21
1961,5,Ferenc Puskás,Real Madrid,Hungary,16
1961,6,Alfredo Di Stéfano,Real Madrid,Spain,13
1961,6,Uwe Seeler,Hamburger SV,West Germany,13
1961,8,John Charles,Juventus,Wales,10
1961,9,Francisco Gento,Real Madrid,Spain,8
1961,10,José Águas,Benfica,Portugal,5
1961,10,Bobby Charlton,Manchester United,England,5
1961,10,Gyula Grosics,Tatabánya,Hungary,5
1961,10,Gerhard Hanappi,Rapid Wien,Austria,5
1961,10,Josef Masopust,Dukla Prague,Czechoslovakia,5
1961,10,José Santamaría,Real Madrid,Spain,5
1961,10,Dragoslav Šekularac,Red Star Belgrade,Yugoslavia,5
1961,17,Danny Blanchflower,Tottenham Hotspur,Northern Ireland,4
1961,17,Germano,Benfica,Portugal,4
1961,17,Kurt Hamrin,Fiorentina,Sweden,4
1961,17,Mikheil Meskhi,Dinamo Tbilisi,Soviet Union,4
1961,17,Viktor Ponedelnik,SKA Rostov-on-Don,Soviet Union,4
1961,17,Horst Szymaniak,Karlsruher SC / Catania,West Germany,4
1961,23,José Augusto,Benfica,Portugal,3
1961,23,Denis Law,Manchester City,Scotland,3
1961,23,Denis Law,Scotland,Torino,3
1961,23,Slava Metreveli,Torpedo Moscow,Soviet Union,3
1961,23,Max Morlock,1. FC Nürnberg,West Germany,3
1961,23,Horst Nemec,Austria Wien,Austria,3
1961,29,Pierre Bernard,Sedan / Nîmes,France,2
1961,29,Gert Dörfel,Hamburger SV,West Germany,2
1961,29,Norbert Eschmann,Stade Français,Switzerland,2
1961,29,Jimmy Greaves,Chelsea / Milan /  Tottenham Hotspur,England,2
1961,29,Lucien Muller,Reims,France,2
1961,29,Costa Pereira,Benfica,Portugal,2
1961,29,Lajos Tichy,Budapest Honvéd,Hungary,2
1961,36,Charles Antenen,La Chaux-de-Fonds,Switzerland,1
1961,36,Mário Coluna,Benfica,Portugal,1
1961,36,Eusébio,Benfica,Portugal,1
1961,36,Gernot Fraydl,Austria Wien,Austria,1
1961,36,Karl Koller,First Vienna,Austria,1
1961,36,Rudolf Kučera,Dukla Prague,Czechoslovakia,1
1961,36,Dumitru Macri,Rapid București,Romania,1
1961,36,Jimmy McIlroy,Burnley,Northern Ireland,1
1961,36,Karl Stotz,Austria Wien,Austria,1
1962,1,Josef Masopust,Dukla Prague,Czechoslovakia,65
1962,2,Eusébio,Benfica,Portugal,53
1962,3,Karl-Heinz Schnellinger,1. FC Köln,West Germany,33
1962,4,Dragoslav Šekularac,Red Star Belgrade,Yugoslavia,26
1962,5,Jef Jurion,Anderlecht,Belgium,15
1962,6,Gianni Rivera,Milan,Italy,14
1962,7,Jimmy Greaves,Tottenham Hotspur,England,11
1962,8,John Charles,Juventus /  Leeds United / Roma,Wales,10
1962,8,Milan Galić,Partizan,Yugoslavia,10
1962,10,János Göröcs,Újpest,Hungary,6
1962,11,José Águas,Benfica,Portugal,4
1962,11,Raymond Kopa,Reims,France,4
1962,11,Denis Law,Torino /  Manchester United,Scotland,4
1962,11,Omar Sívori,Juventus,Argentina,4
1962,15,Luis Del Sol,Real Madrid / Juventus,Spain,3
1962,15,Andrej Kvašňák,Sparta Prague,Czechoslovakia,3
1962,15,André Lerond,Stade Français,France,3
1962,15,Luis Suárez,Internazionale,Spain,3
1962,19,Flórián Albert,Ferencváros,Hungary,2
1962,19,Kurt Hamrin,Fiorentina,Sweden,2
1962,19,Horst Nemec,Austria Wien,Austria,2
1962,19,Joaquín Peiró,Atlético Madrid / Torino,Spain,2
1962,19,Viliam Schrojf,Slovan Bratislava,Czechoslovakia,2
1962,19,Ernő Solymosi,Újpest,Hungary,2
1962,25,Francisco Gento,Real Madrid,Spain,1
1962,25,Ezio Pascutti,Bologna,Italy,1
1962,25,Lajos Tichy,Budapest Honvéd,Hungary,1
1963,1,Lev Yashin,Dynamo Moscow,Soviet Union,73
1963,2,Gianni Rivera,Milan,Italy,55
1963,3,Jimmy Greaves,Tottenham Hotspur,England,50
1963,4,Denis Law,Manchester United,Scotland,45
1963,5,Eusébio,Benfica,Portugal,19
1963,6,Karl-Heinz Schnellinger,1. FC Köln / Mantova,West Germany,16
1963,7,Uwe Seeler,Hamburger SV,West Germany,9
1963,8,Bobby Charlton,Manchester United,England,5
1963,8,Luis Suárez,Inter Milan,Spain,5
1963,8,Giovanni Trapattoni,Milan,Italy,5
1963,11,José Altafini,Milan,Brazil,4
1963,11,Paul Van Himst,Anderlecht,Belgium,4
1963,13,Flórián Albert,Ferencváros,Hungary,3
1963,13,Harry Bild,IFK Norrköping,Sweden,3
1963,13,Josef Masopust,Dukla Prague,Czechoslovakia,3
1963,13,Omar Sívori,Juventus,Argentina,3
1963,17,Robert Herbin,Saint-Étienne,France,2
1963,17,Jef Jurion,Anderlecht,Belgium,2
1963,17,Cesare Maldini,Milan,Italy,2
1963,17,Károly Sándor,MTK Budapest,Hungary,2
1963,21,Mário Coluna,Benfica,Portugal,1
1963,21,Ake Johansson,IFK Norrköping,Sweden,1
1963,21,Manfred Kaiser,Wismut Aue,East Germany,1
1963,21,Metin Oktay,Galatasaray,Turkey,1
1963,21,Svatopluk Pluskal,Dukla Prague,Czechoslovakia,1
1964,1,Denis Law,Manchester United,Scotland,61
1964,2,Luis Suárez,Internazionale,Spain,43
1964,3,Amancio,Real Madrid,Spain,38
1964,4,Eusébio,Benfica,Portugal,31
1964,5,Paul Van Himst,Anderlecht,Belgium,28
1964,6,Jimmy Greaves,Tottenham Hotspur,England,19
1964,7,Mario Corso,Internazionale,Italy,17
1964,8,Lev Yashin,Dynamo Moscow,Soviet Union,15
1964,9,Gianni Rivera,Milan,Italy,14
1964,10,Valery Voronin,Torpedo Moscow,Soviet Union,11
1964,11,Ferenc Bene,Újpest,Hungary,6
1964,11,Karl-Heinz Schnellinger,Mantova / Roma,West Germany,6
1964,13,Jean Nicolay,Standard Liège,Belgium,5
1964,14,Helmut Haller,Bologna,West Germany,4
1964,15,José Torres,Benfica,Portugal,3
1964,16,Flórián Albert,Ferencváros,Hungary,2
1964,16,José Altafini,Milan,Italy,2
1964,16,Coen Moulijn,Feyenoord,Netherlands,2
1964,19,Néstor Combin,Lyon / Juventus,France,1
1964,19,Giacinto Facchetti,Internazionale,Italy,1
1964,19,Ole Madsen,HIK,Denmark,1
1964,19,Sandro Mazzola,Internazionale,Italy,1
1964,19,Bobby Moore,West Ham United,England,1
1964,19,Jef Jurion,Anderlecht,Belgium,1
1964,19,Omar Sívori,Juventus,Italy,1
1964,19,Klaus Urbanczyk,Chemie Halle,East Germany,1
1965,1,Eusébio,Benfica,Portugal,67
1965,2,Giacinto Facchetti,Internazionale,Italy,59
1965,3,Luis Suárez,Internazionale,Spain,45
1965,4,Paul Van Himst,Anderlecht,Belgium,25
1965,5,Bobby Charlton,Manchester United,England,19
1965,6,Flórián Albert,Ferencváros,Hungary,14
1965,7,Gianni Rivera,Milan,Italy,10
1965,8,Georgi Asparuhov,Levski Sofia,Bulgaria,9
1965,8,Sandro Mazzola,Internazionale,Italy,9
1965,8,Valery Voronin,Torpedo Moskva,Soviet Union,9
1965,11,Denis Law,Manchester United,Scotland,8
1965,12,Karl-Heinz Schnellinger,Roma / Milan,West Germany,6
1965,13,Jim Baxter,Rangers / Sunderland,Scotland,5
1965,13,Ferenc Puskás,Real Madrid,Spain,5
1965,15,Mario Corso,Internazionale,Italy,3
1965,15,Lev Yashin,Dynamo Moscow,Soviet Union,3
1965,17,Amancio,Real Madrid,Spain,2
1965,17,Franz Beckenbauer,Bayern Munich,West Germany,2
1965,17,Ferenc Bene,Újpest,Hungary,2
1965,17,Mário Coluna,Benfica,Portugal,2
1965,17,Milan Galić,Partizan,Yugoslavia,2
1965,17,Philippe Gondet,Nantes,France,2
1965,17,Andrej Kvašňák,Sparta Prague,Czechoslovakia,2
1965,17,Slava Metreveli,Dinamo Tbilisi,Soviet Union,2
1965,25,Ivor Allchurch,Cardiff City /  Swansea Town,Wales,1
1965,25,Sigfried Held,Kickers Offenbach /  Borussia Dortmund,West Germany,1
1965,25,Köbi Kuhn,Zürich,Switzerland,1
1966,1,Bobby Charlton,Manchester United,England,81
1966,2,Eusébio,Benfica,Portugal,80
1966,3,Franz Beckenbauer,Bayern Munich,West Germany,59
1966,4,Bobby Moore,West Ham United,England,31
1966,5,Flórián Albert,Ferencváros,Hungary,23
1966,6,Ferenc Bene,Újpest,Hungary,8
1966,7,Lev Yashin,Dynamo Moscow,Soviet Union,6
1966,7,Alan Ball,Blackpool / Everton,England,6
1966,7,János Farkas,Vasas,Hungary,6
1966,10,José Torres,Benfica,Portugal,5
1966,11,Mario Corso,Internazionale,Italy,4
1966,11,Valery Voronin,Torpedo Moscow,Soviet Union,4
1966,13,Mário Coluna,Benfica,Portugal,3
1966,14,Georgi Asparuhov,Levski Sofia,Bulgaria,2
1966,14,Gordon Banks,Leicester City,England,2
1966,14,Geoff Hurst,West Ham United,England,2
1966,14,Sandro Mazzola,Internazionale,Italy,2
1966,18,Igor Chislenko,Dynamo Moscow,Soviet Union,1
1966,18,Tony Dunne,Manchester United,Ireland,1
1966,18,Helmut Haller,Bologna,West Germany,1
1966,18,Denis Law,Manchester United,Scotland,1
1966,18,Willi Schulz,Hamburger SV,West Germany,1
1966,18,Paul Van Himst,Anderlecht,Belgium,1
1967,1,Flórián Albert,Ferencváros,Hungary,68
1967,2,Bobby Charlton,Manchester United,England,40
1967,3,Jimmy Johnstone,Celtic,Scotland,39
1967,4,Franz Beckenbauer,Bayern Munich,West Germany,37
1967,5,Eusébio,Benfica,Portugal,26
1967,6,Tommy Gemmell,Celtic,Scotland,21
1967,7,Gerd Müller,Bayern Munich,West Germany,19
1967,8,George Best,Manchester United,Northern Ireland,18
1967,9,Igor Chislenko,Dynamo Moscow,Soviet Union,9
1967,10,János Farkas,Vasas,Hungary,8
1967,10,Sandro Mazzola,Internazionale,Italy,8
1967,10,Pirri,Real Madrid,Spain,8
1967,13,Gigi Riva,Cagliari,Italy,6
1967,13,Eduard Streltsov,Torpedo Moscow,Soviet Union,6
1967,15,Anatoliy Byshovets,Dynamo Kyiv,Soviet Union,5
1967,16,Alan Ball,Everton,England,4
1967,16,Helmut Haller,Bologna,West Germany,4
1967,16,Włodzimierz Lubański,Górnik Zabrze,Poland,4
1967,16,Gianni Rivera,Milan,Italy,4
1967,20,Zvezdan Čebinac,PSV Eindhoven / 1. FC Nürnberg,Yugoslavia,3
1967,20,Giacinto Facchetti,Internazionale,Italy,3
1967,20,Geoff Hurst,West Ham United,England,3
1967,20,Wolfgang Overath,1. FC Köln,West Germany,3
1967,20,Paul Van Himst,Anderlecht,Belgium,3
1967,25,Nikola Kotkov,Lokomotiv Sofia,Bulgaria,2
1967,25,Valery Voronin,Torpedo Moscow,Soviet Union,2
1967,27,José Augusto,Benfica,Portugal,1
1967,27,Johnny Bjerregaard,Rapid Wien,Denmark,1
1967,27,Néstor Combin,Torino,France,1
1967,27,Johan Cruyff,Ajax,Netherlands,1
1967,27,Pedro de Felipe,Real Madrid,Spain,1
1967,27,Louis Pilot,Standard Liège,Luxembourg,1
1967,27,Ove Kindvall,Feyenoord,Sweden,1
1967,27,Zygfryd Szołtysik,Górnik Zabrze,Poland,1
1968,1,George Best,Manchester United,Northern Ireland,61
1968,2,Bobby Charlton,Manchester United,England,53
1968,3,Dragan Džajić,Red Star Belgrade,Yugoslavia,46
1968,4,Franz Beckenbauer,Bayern Munich,West Germany,36
1968,5,Giacinto Facchetti,Internazionale,Italy,30
1968,6,Gigi Riva,Cagliari,Italy,22
1968,7,Amancio,Real Madrid,Spain,21
1968,8,Eusébio,Benfica,Portugal,15
1968,9,Gianni Rivera,Milan,Italy,13
1968,10,Jimmy Greaves,Tottenham Hotspur,England,8
1968,10,Pirri,Real Madrid,Spain,8
1968,12,Antal Dunai,Újpest,Hungary,7
1968,12,Willi Schulz,Hamburger SV,West Germany,7
1968,14,Georgi Asparuhov,Levski Sofia,Bulgaria,6
1968,14,Albert Shesternyov,CSKA Moscow,Soviet Union,6
1968,16,Ove Kindvall,Feyenoord,Sweden,5
1968,17,Flórián Albert,Ferencváros,Hungary,4
1968,17,Sandro Mazzola,Internazionale,Italy,4
1968,17,Lajos Szűcs,Ferencváros,Hungary,4
1968,20,Johan Cruyff,Ajax,Netherlands,3
1968,20,Gerd Müller,Bayern Munich,West Germany,3
1968,22,Jack Charlton,Leeds United,England,2
1968,22,Bobby Moore,West Ham United,England,2
1968,24,Alan Ball,Everton,England,1
1968,24,Ferenc Bene,Újpest,Hungary,1
1968,24,Angelo Domenghini,Internazionale,Italy,1
1968,24,Mirsad Fazlagić,Sarajevo,Yugoslavia,1
1968,24,Tommy Gemmell,Celtic,Scotland,1
1968,24,Jimmy Johnstone,Celtic,Scotland,1
1968,24,Murtaz Khurtsilava,Dinamo Tbilisi,Soviet Union,1
1968,24,Ivica Osim,Željezničar,Yugoslavia,1
1968,24,Louis Pilot,Standard Liège,Luxembourg,1
1969,1,Gianni Rivera,A.C. Milan,Italy,83
1969,2,Gigi Riva,Cagliari,Italy,79
1969,3,Gerd Müller,Bayern Munich,West Germany,38
1969,4,Johan Cruyff,Ajax,Netherlands,30
1969,4,Ove Kindvall,Feyenoord,Sweden,30
1969,6,George Best,Manchester United,Northern Ireland,21
1969,7,Franz Beckenbauer,Bayern Munich,West Germany,18
1969,8,Pierino Prati,Milan,Italy,17
1969,9,Petar Zhekov,CSKA Sofia,Bulgaria,14
1969,10,Jack Charlton,Leeds United,England,10
1969,11,Albert Shesternyov,CSKA Moscow,Soviet Union,8
1969,12,Dragan Džajić,Red Star Belgrade,Yugoslavia,6
1969,13,Francis Lee,Manchester City,England,4
1969,13,Martin Peters,West Ham United,England,4
1969,15,Jozef Adamec,Spartak Trnava,Czechoslovakia,3
1969,15,Bobby Charlton,Manchester United,England,3
1969,15,Angelo Sormani,Milan,Italy,3
1969,18,Ferenc Bene,Újpest,Hungary,2
1969,18,Andrej Kvašňák,KRC Mechelen,Czechoslovakia,2
1969,18,Louis Pilot,Standard Liège,Luxembourg,2
1969,18,Giorgos Sideris,Olympiacos,Greece,2
1969,18,Manuel Velázquez,Real Madrid,Spain,2
1969,23,Billy Bremner,Leeds United,Scotland,1
1969,23,Kazimierz Deyna,Legia Warsaw,Poland,1
1969,23,Mimis Domazos,Panathinaikos,Greece,1
1969,23,Gilbert Gress,VfB Stuttgart,France,1
1969,23,Jimmy Johnstone,Celtic,Scotland,1
1969,23,Włodzimierz Lubański,Górnik Zabrze,Poland,1
1969,23,Vladimir Muntyan,Dynamo Kyiv,Soviet Union,1
1969,23,Wilfried Van Moer,Standard Liège,Belgium,1
1969,23,Ivo Viktor,Dukla Prague,Czechoslovakia,1
1970,1,Gerd Müller,Bayern Munich,West Germany,77
1970,2,Bobby Moore,West Ham United,England,70
1970,3,Gigi Riva,Cagliari,Italy,65
1970,4,Franz Beckenbauer,Bayern Munich,West Germany,32
1970,5,Wolfgang Overath,1. FC Köln,West Germany,29
1970,6,Dragan Džajić,Red Star Belgrade,Yugoslavia,24
1970,7,Johan Cruyff,Ajax,Netherlands,13
1970,8,Gordon Banks,Stoke City,England,8
1970,8,Sandro Mazzola,Internazionale,Italy,8
1970,10,Rinus Israël,Feyenoord,Netherlands,7
1970,10,Gianni Rivera,Milan,Italy,7
1970,10,Uwe Seeler,Hamburger SV,West Germany,7
1970,10,Albert Shesternyov,CSKA Moscow,Soviet Union,7
1970,14,Angelo Domenghini,Cagliari,Italy,4
1970,14,Ove Kindvall,Feyenoord,Sweden,4
1970,14,Francis Lee,Manchester City,England,4
1970,14,Willem van Hanegem,Feyenoord,Netherlands,4
1970,18,Alan Ball,Everton,England,3
1970,18,Terry Cooper,Leeds United,England,3
1970,18,Giacinto Facchetti,Internazionale,Italy,3
1970,18,Geoff Hurst,West Ham United,England,3
1970,22,Eusébio,Benfica,Portugal,2
1970,22,Josip Skoblar,Marseille,Yugoslavia,2
1970,24,Cornel Dinu,Dinamo București,Romania,1
1970,24,Jean Djorkaeff,Paris Saint-Germain,France,1
1970,24,Florea Dumitrache,Dinamo București,Romania,1
1970,24,Franz Hasil,Feyenoord,Austria,1
1970,24,Hans-Jürgen Kreische,Dynamo Dresden,East Germany,1
1970,24,Carles Rexach,Barcelona,Spain,1
1971,1,Johan Cruyff,Netherlands,Ajax,116
1971,2,Sandro Mazzola,Italy,Internazionale,57
1971,3,George Best,Northern Ireland,Manchester United,56
1971,4,Günter Netzer,West Germany,Borussia Mönchengladbach,30
1971,5,Franz Beckenbauer,West Germany,Bayern Munich,27
1971,6,Gerd Müller,West Germany,Bayern Munich,18
1971,6,Josip Skoblar,Yugoslavia,Marseille,18
1971,8,Martin Chivers[notes 1],England,Tottenham Hotspur,12
1971,9,Piet Keizer,Netherlands,Ajax,9
1971,10,Bobby Moore,England,West Ham United,7
1971,10,Ferenc Bene,Hungary,Újpest,7
1971,12,Yevhen Rudakov,Soviet Union,Dynamo Kyiv,6
1971,13,Giacinto Facchetti,Italy,Internazionale,4
1971,13,Mimis Domazos,Greece,Panathinaikos,4
1971,15,Pirri,Spain,Real Madrid,3
1971,15,Dragan Džajić,Yugoslavia,Red Star Belgrade,3
1971,15,Berti Vogts,West Germany,Borussia Mönchengladbach,3
1971,18,Terry Cooper,England,Leeds United,2
1971,18,Francis Lee,England,Manchester City,2
1971,18,Wolfgang Overath,West Germany,1. FC Köln,2
1971,18,Wilfried Van Moer,Belgium,Standard Liège,2
1971,22,Bobby Charlton,England,Manchester United,1
1971,22,Albert Shesternyov,Soviet Union,CSKA Moscow,1
1972,1,Franz Beckenbauer,Bayern Munich,West Germany,81
1972,2,Gerd Müller,Bayern Munich,West Germany,79
1972,2,Günter Netzer,Borussia Mönchengladbach,West Germany,79
1972,4,Johan Cruyff,Ajax,Netherlands,73
1972,5,Piet Keizer,Ajax,Netherlands,13
1972,6,Kazimierz Deyna,Legia Warsaw,Poland,6
1972,7,Gordon Banks,Stoke City,England,4
1972,7,Barry Hulshoff,Ajax,Netherlands,4
1972,7,Włodzimierz Lubański,Górnik Zabrze,Poland,4
1972,7,Bobby Moore,West Ham United,England,4
1972,11,Hristo Bonev,Lokomotiv Plovdiv,Bulgaria,3
1972,11,Murtaz Khurtsilava,Dinamo Tbilisi,Soviet Union,3
1972,11,Gerrie Mühren,Ajax,Netherlands,3
1972,11,Paul Van Himst,Anderlecht,Belgium,3
1972,15,Antal Dunai,Újpest,Hungary,2
1972,15,Eusébio,Benfica,Portugal,2
1972,15,Sandro Mazzola,Internazionale,Italy,2
1972,18,Amancio,Real Madrid,Spain,1
1972,18,Paul Breitner,Bayern Munich,West Germany,1
1972,18,Giorgio Chinaglia,Lazio,Italy,1
1972,18,Dragan Džajić,Red Star Belgrade,Yugoslavia,1
1972,18,Johnny Giles,Leeds United,Republic of Ireland,1
1972,18,John Greig,Rangers,Scotland,1
1972,18,Johan Neeskens,Ajax,Netherlands,1
1972,18,Gianni Rivera,Milan,Italy,1
1972,18,Yevhen Rudakov,Dynamo Kyiv,Soviet Union,1
1972,18,Marius Trésor,Marseille,France,1
1973,1,Johan Cruyff,Netherlands,Ajax / Barcelona,96
1973,2,Dino Zoff,Italy,Juventus,47
1973,3,Gerd Müller,West Germany,Bayern Munich,44
1973,4,Franz Beckenbauer,West Germany,Bayern Munich,30
1973,5,Billy Bremner,Scotland,Leeds United,22
1973,6,Kazimierz Deyna,Poland,Legia Warsaw,16
1973,7,Eusébio,Portugal,Benfica,14
1973,8,Gianni Rivera,Italy,Milan,12
1973,9,Ralf Edström,Sweden,Åtvidabergs FF /  PSV Eindhoven,11
1973,9,Günter Netzer,Germany,Borussia Mönchengladbach /  Real Madrid,11
1973,11,Uli Hoeneß,West Germany,Bayern Munich,8
1973,12,Hristo Bonev,Bulgaria,Lokomotiv Plovdiv,7
1973,12,Giacinto Facchetti,Italy,Internazionale,7
1973,14,Juan Manuel Asensi,Spain,Barcelona,5
1973,14,Sandro Mazzola,Italy,Internazionale,5
1973,14,Jan Tomaszewski,Poland,ŁKS Łódź,5
1973,17,Włodzimierz Lubański,Poland,Górnik Zabrze,4
1973,18,Wolfgang Overath,West Germany,1. FC Köln,3
1973,19,Barry Hulshoff,Netherlands,Ajax,2
1973,19,Hans-Jürgen Kreische,East Germany,Dynamo Dresden,2
1973,19,Bobby Moore,England,West Ham United,2
